timestamp,household_id,consumption,Season,temperature,humidity,windSpeed
2013-03-01 00:00:00,MAC000001,6.219,Spring,2.58,0.84,3.94
2013-03-01 01:00:00,MAC000001,5.51,Spring,2.97,0.84,3.35
2013-03-01 02:00:00,MAC000001,8.393,Spring,2.99,0.87,2.7
2013-03-01 03:00:00,MAC000001,6.876,Spring,3.03,0.87,2.51
2013-03-01 04:00:00,MAC000001,4.0,Spring,3.07,0.91,2.62
2013-03-01 05:00:00,MAC000001,5.252,Spring,3.07,0.93,2.27
2013-03-01 06:00:00,MAC000001,9.343,Spring,3.49,0.94,2.73
2013-03-01 07:00:00,MAC000001,10.404,Spring,3.98,0.94,2.58
2013-03-01 08:00:00,MAC000001,7.054,Spring,4.65,0.94,2.88
2013-03-01 09:00:00,MAC000001,6.68,Spring,5.21,0.94,3.86
2013-03-01 10:00:00,MAC000001,4.0,Spring,5.76,0.9,4.47
2013-03-01 11:00:00,MAC000001,4.0,Spring,6.25,0.81,4.87
2013-03-01 12:00:00,MAC000001,7.416,Spring,5.94,0.79,5.14
2013-03-01 13:00:00,MAC000001,4.708,Spring,6.62,0.66,5.19
2013-03-01 14:00:00,MAC000001,10.489,Spring,6.27,0.64,5.11
2013-03-01 15:00:00,MAC000001,4.833,Spring,6.21,0.62,4.94
2013-03-01 16:00:00,MAC000001,7.372,Spring,6.17,0.62,4.64
2013-03-01 17:00:00,MAC000001,4.0,Spring,6.07,0.61,4.31
2013-03-01 18:00:00,MAC000001,5.781,Spring,5.56,0.64,3.9
2013-03-01 19:00:00,MAC000001,8.496,Spring,5.47,0.68,4.17
2013-03-01 20:00:00,MAC000001,9.238,Spring,4.97,0.67,4.42
2013-03-01 21:00:00,MAC000001,4.434,Spring,4.49,0.65,4.24
2013-03-01 22:00:00,MAC000001,5.659,Spring,4.09,0.67,4.01
2013-03-01 23:00:00,MAC000001,8.589,Spring,3.98,0.67,3.67
2013-03-02 00:00:00,MAC000001,5.435,Spring,3.51,0.69,3.78
2013-03-02 01:00:00,MAC000001,8.359,Spring,3.43,0.7,3.49
2013-03-02 02:00:00,MAC000001,7.427,Spring,3.41,0.7,3.3
2013-03-02 03:00:00,MAC000001,11.887,Spring,2.99,0.73,2.81
2013-03-02 04:00:00,MAC000001,4.0,Spring,2.96,0.71,2.91
2013-03-02 05:00:00,MAC000001,4.0,Spring,2.93,0.73,2.65
